"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","6/69","157/8866",0.00133903249154107,0.0046351124707191,0.00262927432549563,"3576/356/2353/3553/3569/7124",6
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","6/69","159/8866",0.00142901379275394,0.00485325439048507,0.00275301564840381,"3627/356/3458/4792/7124/7122",6
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/69","30/8866",0.00157578615764551,0.00525262052548505,0.00297955667235117,"3553/3569/7124",3
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","7/69","224/8866",0.00170674855162541,0.00558572253259226,0.00316850927287397,"2353/3558/3559/3569/4792/7124/1959",7
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/69","362/8866",0.00185253321011352,0.00595457103250774,0.00337773912370322,"356/3558/3559/3563/3569/3574/3575/7057/374",9
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","3/69","32/8866",0.00190382704236114,0.0060120853969299,0.00341036423100702,"3586/7124/959",3
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","4/69","70/8866",0.00209353046743748,0.00649716351963356,0.00368552550528921,"941/942/959/5551",4
"hsa05120","Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","4/69","71/8866",0.00220564208548256,0.00672907754892984,0.00381707907746313,"6352/3576/4792/2920",4
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","4/69","72/8866",0.0023218346818991,0.0069655040456973,0.00395119235340724,"3627/3576/4792/7124",4
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/69","75/8866",0.00269564348897562,0.00795435783632149,0.00451212111183149,"5366/5054/7057/983",4
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","6/69","182/8866",0.0028299166225217,0.00821588696861138,0.00466047389447546,"3458/3586/3553/3569/7124/718",6
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","3/69","38/8866",0.00313201478479127,0.00894861367083219,0.00507611418754809,"3575/959/29851",3
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","4/69","81/8866",0.00356340383274685,0.0100220732796005,0.00568503572000731,"3458/7124/3303/3822",4
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","5/69","133/8866",0.00367355127778526,0.0101729112307899,0.00577059876834284,"356/3586/3569/3575/6648",5
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/69","41/8866",0.00389246922093407,0.010615825148002,0.00602184233541635,"3576/4318/7057",3
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","6/69","204/8866",0.00495661689611314,0.0133162841985129,0.0075536816798582,"356/4318/5328/7124/7057/5329",6
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","6/69","205/8866",0.00507525190621083,0.0134344903399698,0.00762073428641564,"4792/5366/718/1232/1959/983",6
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","7/69","300/8866",0.00849083080468714,0.0221499934035317,0.0125646161411846,"356/2353/3553/7124/1843/3303/374",7
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","4/69","108/8866",0.00981589164746915,0.0252408642363492,0.0143179171399174,"3458/7124/3397/7057",4
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","4/69","116/8866",0.0125229066624686,0.0317482140738641,0.018009220848917,"4318/7412/7852/7122",4
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","6/69","251/8866",0.013128314410801,0.0328207860270025,0.0186176388574225,"3576/2353/3553/3569/4792/7124",6
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","6/69","253/8866",0.0136100966791686,0.0335591424965801,0.0190364726442589,"6352/3576/3553/4792/7124/718",6
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","4/69","130/8866",0.018326757412794,0.0445785991122017,0.025287275519787,"1906/2353/4318/4792",4
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","5/69","201/8866",0.0198471260793001,0.0476331025903202,0.027019947083398,"942/3576/3569/4318/5328",5
