"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007566","GO:0007566","embryo implantation","2/14","60/18870",0.000882765974600932,0.0293171226301678,0.0139628634763749,"MMP2/GJA1",2
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","3/14","267/18870",0.000908371615289251,0.029393973807565,0.0139994653800314,"KIT/IL23A/BMP4",3
"GO:1905330","GO:1905330","regulation of morphogenesis of an epithelium","2/14","65/18870",0.00103517913626892,0.0326599017492844,0.0155549286002514,"BMP4/GJA1",2
"GO:0042531","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","2/14","66/18870",0.00106707624264021,0.0328451272734619,0.0156431459447383,"KIT/IL23A",2
"GO:0001655","GO:0001655","urogenital system development","2/14","67/18870",0.00109944340503882,0.0330356565990235,0.0157338893302548,"MMP2/BMP4",2
"GO:0048608","GO:0048608","reproductive structure development","3/14","305/18870",0.0013335136281467,0.0373148491772918,0.0177719400118722,"KIT/MMP2/BMP4",3
"GO:0030217","GO:0030217","T cell differentiation","3/14","307/18870",0.00135881311377663,0.0373148491772918,0.0177719400118722,"KIT/IL23A/BMP4",3
"GO:0001707","GO:0001707","mesoderm formation","2/14","75/18870",0.00137522914924114,0.0373148491772918,0.0177719400118722,"BMP4/GJA1",2
"GO:0061458","GO:0061458","reproductive system development","3/14","309/18870",0.00138441511467029,0.0373148491772918,0.0177719400118722,"KIT/MMP2/BMP4",3
"GO:0051145","GO:0051145","smooth muscle cell differentiation","2/14","76/18870",0.00141179924875037,0.0373148491772918,0.0177719400118722,"KIT/BMP4",2
"GO:0007162","GO:0007162","negative regulation of cell adhesion","3/14","312/18870",0.00142338842544994,0.0373148491772918,0.0177719400118722,"MMP2/CDKN2A/BMP4",3
"GO:0048332","GO:0048332","mesoderm morphogenesis","2/14","77/18870",0.00144883328818328,0.0373148491772918,0.0177719400118722,"BMP4/GJA1",2
"GO:0042509","GO:0042509","regulation of tyrosine phosphorylation of STAT protein","2/14","78/18870",0.0014863306589032,0.0375149858307167,0.0178672590786047,"KIT/IL23A",2
"GO:0007260","GO:0007260","tyrosine phosphorylation of STAT protein","2/14","82/18870",0.00164094130078087,0.0400207872860212,0.019060696922444,"KIT/IL23A",2
"GO:0007492","GO:0007492","endoderm development","2/14","83/18870",0.00168074621724178,0.0400207872860212,0.019060696922444,"MMP2/BMP4",2
"GO:0051149","GO:0051149","positive regulation of muscle cell differentiation","2/14","83/18870",0.00168074621724178,0.0400207872860212,0.019060696922444,"KIT/BMP4",2
"GO:0032088","GO:0032088","negative regulation of NF-kappaB transcription factor activity","2/14","87/18870",0.00184455674481154,0.0423965466357322,0.0201921996238244,"CDKN2A/CHUK",2
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","3/14","346/18870",0.00191432762406815,0.0423965466357322,0.0201921996238244,"KIT/PAK3/CHUK",3
"GO:0050829","GO:0050829","defense response to Gram-negative bacterium","2/14","89/18870",0.00192920807057625,0.0423965466357322,0.0201921996238244,"SELP/IL23A",2
"GO:0032496","GO:0032496","response to lipopolysaccharide","3/14","348/18870",0.00194610357545128,0.0423965466357322,0.0201921996238244,"SELP/CDK4/CHUK",3
"GO:0070661","GO:0070661","leukocyte proliferation","3/14","350/18870",0.00197820977174985,0.0423965466357322,0.0201921996238244,"KIT/IL23A/BMP4",3
"GO:0006936","GO:0006936","muscle contraction","3/14","351/18870",0.00199438711358874,0.0423965466357322,0.0201921996238244,"KIT/CHUK/GJA1",3
"GO:0002220","GO:0002220","innate immune response activating cell surface receptor signaling pathway","2/14","91/18870",0.00201568367523291,0.0423965466357322,0.0201921996238244,"PAK3/CHUK",2
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","3/14","355/18870",0.00205992850252185,0.0426036927181348,0.020290857070694,"CDK4/CDKN2A/AURKA",3
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","2/14","93/18870",0.00210397874765432,0.0426036927181348,0.020290857070694,"CDKN2A/BMP4",2
"GO:0007281","GO:0007281","germ cell development","3/14","359/18870",0.00212680874900356,0.0426036927181348,0.020290857070694,"KIT/AURKA/BMP4",3
"GO:0002237","GO:0002237","response to molecule of bacterial origin","3/14","369/18870",0.00229993280500797,0.0452892018689792,0.0215698842832489,"SELP/CDK4/CHUK",3
"GO:0009798","GO:0009798","axis specification","2/14","98/18870",0.00233264510418673,0.0452892018689792,0.0215698842832489,"AURKA/BMP4",2
"GO:0008585","GO:0008585","female gonad development","2/14","101/18870",0.00247525779110009,0.0473299292783078,0.0225418213511667,"KIT/MMP2",2
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","3/14","382/18870",0.00253785212957264,0.0478025281719502,0.0227669059856398,"SELP/IL23A/BMP4",3
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","2/14","104/18870",0.00262191044497972,0.0483810873752092,0.0230424563276708,"CDK4/AURKA",2
"GO:0046545","GO:0046545","development of primary female sexual characteristics","2/14","105/18870",0.00267168965667001,0.0483810873752092,0.0230424563276708,"KIT/MMP2",2
"GO:0032963","GO:0032963","collagen metabolic process","2/14","106/18870",0.00272191537530892,0.0483810873752092,0.0230424563276708,"MMP2/BMP4",2
"GO:0046425","GO:0046425","regulation of receptor signaling pathway via JAK-STAT","2/14","106/18870",0.00272191537530892,0.0483810873752092,0.0230424563276708,"KIT/IL23A",2
"GO:0030593","GO:0030593","neutrophil chemotaxis","2/14","107/18870",0.00277258700773941,0.0485972889412102,0.0231454266289357,"CCL18/IL23A",2
