"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","10/80","166/18870",2.04919417610909e-09,7.10640301319807e-08,3.58975146120215e-08,"CCL5/CD80/CD86/IL1B/IL2/IL2RA/IL6/IL7/VCAM1/CD40LG",10
"GO:1903706","GO:1903706","regulation of hemopoiesis","14/80","417/18870",2.1337917611663e-09,7.14081672685147e-08,3.60713531610642e-08,"CD80/CD83/CD86/FOS/IFNG/IL10/IL2/IL2RA/IL7/IL7R/NFKBIA/TNF/HSPA1A/LIF",14
"GO:0045471","GO:0045471","response to ethanol","9/80","121/18870",2.14640266433126e-09,7.14081672685147e-08,3.60713531610642e-08,"FOS/IL2/TNF/VCAM1/CLDN5/SPINK1/S100A8/SOD2/CDK1",9
"GO:0071887","GO:0071887","leukocyte apoptotic process","9/80","121/18870",2.14640266433126e-09,7.14081672685147e-08,3.60713531610642e-08,"CCL5/FASLG/IL10/IL2/IL2RA/IL6/IL7R/CCL21/CCR7",9
"GO:0050819","GO:0050819","negative regulation of coagulation","7/80","52/18870",2.16080249833526e-09,7.14081672685147e-08,3.60713531610642e-08,"EDN1/PLAU/SERPINE1/THBS1/SERPINE2/THBD/PLAUR",7
"GO:0071622","GO:0071622","regulation of granulocyte chemotaxis","7/80","53/18870",2.48119270600668e-09,8.10426780368925e-08,4.09381611713219e-08,"CCL5/CXCL8/EDN1/CCL21/THBS1/C5AR1/CCR7",7
"GO:0030098","GO:0030098","lymphocyte differentiation","14/80","429/18870",3.06949967769949e-09,9.91060298236536e-08,5.00627412648386e-08,"CD80/CD83/CD86/IFNG/IL10/IL1B/IL2/IL2RA/IL6/IL7/IL7R/VCAM1/CD40LG/CCR7",14
"GO:0007259","GO:0007259","receptor signaling pathway via JAK-STAT","10/80","174/18870",3.23474236091734e-09,1.02658236749614e-07,5.18571145897507e-08,"CCL2/CCL5/IFNG/IL10/IL2/IL6/IL7R/TNF/CYP1B1/LIF",10
"GO:0048708","GO:0048708","astrocyte differentiation","8/80","87/18870",3.25261056273251e-09,1.02658236749614e-07,5.18571145897507e-08,"IFNG/IL1B/IL6/TNF/SERPINE2/LIF/S100A8/C5AR1",8
"GO:0051384","GO:0051384","response to glucocorticoid","9/80","127/18870",3.29928007964049e-09,1.02974197152335e-07,5.20167198521098e-08,"EDN1/FOS/IL10/IL6/TNF/A2M/CYP1B1/ADM/AREG",9
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","9/80","130/18870",4.05714428636976e-09,1.25236464839699e-07,6.32623539389986e-08,"CD80/CD83/CD86/IFNG/IL10/IL2/IL2RA/IL7/IL7R",9
"GO:0001666","GO:0001666","response to hypoxia","12/80","298/18870",4.4620601064497e-09,1.36238335206709e-07,6.88198744106888e-08,"EDN1/FOS/PLAU/PMAIP1/TNF/VCAM1/CXCR4/THBS1/LIF/SOD2/ADM/EPAS1",12
"GO:0002449","GO:0002449","lymphocyte mediated immunity","13/80","368/18870",4.63236128572711e-09,1.39917234963521e-07,7.06782457629897e-08,"CD80/IL10/IL1B/IL2/IL6/IL7R/TNF/TNFSF13/CD40LG/PRF1/C3/KLRC2/KLRK1",13
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","7/80","58/18870",4.75849461433502e-09,1.42197993315607e-07,7.18303554325153e-08,"EDN1/IFNG/IL10/IL1B/TNF/SOD2/KLRK1",7
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","11/80","238/18870",4.97055896357359e-09,1.46110541969601e-07,7.38067529463651e-08,"CCL5/CD80/CD86/IL10/IL1B/IL2/IL2RA/IL6/IL7/VCAM1/CD40LG",11
"GO:0042129","GO:0042129","regulation of T cell proliferation","10/80","182/18870",4.99345390853746e-09,1.46110541969601e-07,7.38067529463651e-08,"CCL5/CD80/CD86/IL10/IL1B/IL2/IL2RA/IL6/VCAM1/CD40LG",10
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","11/80","242/18870",5.91382749554823e-09,1.71257128195825e-07,8.65093810526209e-08,"CCL5/CD80/CD86/IL10/IL1B/IL2/IL2RA/IL6/IL7/VCAM1/CD40LG",11
"GO:0080164","GO:0080164","regulation of nitric oxide metabolic process","7/80","60/18870",6.07083695428517e-09,1.74010010250888e-07,8.78999808203696e-08,"EDN1/IFNG/IL10/IL1B/TNF/SOD2/KLRK1",7
